Date	Price	Open	High	Low	Vol.	Change %
08-11-16	3.5025	3.4934	3.5189	3.4775		0.21%
08-10-16	3.4951	3.4954	3.5225	3.481		-0.07%
08-09-16	3.4977	3.5191	3.5239	3.4739		-0.68%
08-08-16	3.5217	3.509	3.5373	3.4972		0.34%
08-05-16	3.5096	3.5508	3.5606	3.5052		-1.25%
08-04-16	3.5541	3.6079	3.613	3.5481		-1.54%
08-03-16	3.6097	3.6548	3.6815	3.6063		-1.29%
08-02-16	3.657	3.6417	3.674	3.6275		0.35%
08-01-16	3.6444	3.6273	3.6593	3.6209		0.45%
07/29/2016	3.6282	3.6416	3.6585	3.6039		-0.40%
07/28/2016	3.6429	3.6067	3.6553	3.6016		0.94%
07/27/2016	3.6091	3.5987	3.6229	3.5886		0.24%
07/26/2016	3.6004	3.6113	3.625	3.5854		-0.34%
07/25/2016	3.6127	3.5713	3.6258	3.5643		1.11%
07/22/2016	3.5732	3.6065	3.622	3.5679		-0.96%
07/21/2016	3.6077	3.5885	3.6248	3.5716		0.50%
07/20/2016	3.5899	3.5794	3.593	3.5641		0.25%
07/19/2016	3.5811	3.601	3.62	3.5781		-0.60%
07/18/2016	3.6026	3.6192	3.6343	3.5931		-0.54%
07/15/2016	3.622	3.6155	3.6319	3.5958		0.19%
07/14/2016	3.6153	3.618	3.6448	3.573		-0.12%
07/13/2016	3.6195	3.6437	3.6672	3.6177		-0.71%
07-12-16	3.6452	3.6579	3.686	3.6174		-0.39%
07-11-16	3.6596	3.6435	3.6684	3.6294		0.30%
07-08-16	3.6486	3.7233	3.7329	3.6214		-2.07%
07-07-16	3.7258	3.6966	3.7314	3.6773		0.80%
07-06-16	3.6961	3.6569	3.7109	3.6407		1.05%
07-05-16	3.6578	3.6452	3.6772	3.6424		0.29%
07-04-16	3.6473	3.6029	3.6507	3.586		1.21%
07-01-16	3.6037	3.5669	3.6219	3.5527		0.98%
06/30/2016	3.5687	3.5833	3.6222	3.5207		-0.44%
06/29/2016	3.5845	3.6542	3.6753	3.5785		-1.93%
06/28/2016	3.6551	3.7379	3.7718	3.6452		-2.26%
06/27/2016	3.7398	3.7331	3.7694	3.6988		-0.29%
06/24/2016	3.7508	3.7983	3.8205	3.64		-1.36%
06/23/2016	3.8026	3.8124	3.8566	3.7947		-0.33%
06/22/2016	3.815	3.8402	3.8607	3.8045		-0.65%
06/21/2016	3.8399	3.8379	3.8567	3.7939		-0.02%
06/20/2016	3.8405	3.8543	3.8897	3.8229		-0.31%
06/17/2016	3.8523	3.8894	3.9062	3.8488		-0.99%
06/16/2016	3.891	3.9098	3.9245	3.8778		-0.54%
06/15/2016	3.9121	3.8999	3.9363	3.87		0.27%
06/14/2016	3.9015	3.9312	3.9475	3.876		-0.79%
06/13/2016	3.9326	3.845	3.9409	3.8385		2.24%
06-10-16	3.8466	3.8443	3.8933	3.8299		0.01%
06-09-16	3.8463	3.8311	3.8579	3.801		0.38%
06-08-16	3.8318	3.9076	3.9175	3.8245		-1.99%
06-07-16	3.9096	3.9605	3.9903	3.9055		-1.33%
06-06-16	3.9623	3.9995	4.0091	3.9569		-1.09%
06-03-16	4.0058	4.0036	4.0248	3.9813		-0.01%
06-02-16	4.0061	4.0265	4.0458	3.9877		-0.57%
06-01-16	4.0289	4.0153	4.0621	3.9777		0.23%
05/31/2016	4.0198	3.9784	4.0549	3.9634		0.98%
05/30/2016	3.9808	4.0123	4.0297	3.9724		-0.83%
05/27/2016	4.0142	4.0075	4.0484	3.9954		0.10%
05/26/2016	4.0103	3.9967	4.0185	3.9864		0.32%
05/25/2016	3.9974	3.9772	4.043	3.9572		0.46%
05/24/2016	3.979	4.0073	4.0107	3.9496		-0.73%
05/23/2016	4.0083	3.9471	4.0297	3.935		1.45%
05/20/2016	3.9512	3.9914	4.0012	3.9419		-1.07%
05/19/2016	3.9939	4.0002	4.0556	3.9724		-0.21%
05/18/2016	4.0025	3.9445	4.0095	3.9248		1.40%
05/17/2016	3.9473	3.9599	4.0034	3.939		-0.37%
05/16/2016	3.9619	3.9957	4.0054	3.9523		-0.85%
05/13/2016	3.9959	3.9636	3.9977	3.9229		0.77%
05-12-16	3.9654	3.9431	3.9954	3.9079		0.52%
05-11-16	3.9447	3.9507	3.9761	3.9289		-0.21%
05-10-16	3.953	4.0006	4.009	3.935		-1.24%
05-09-16	4.0027	3.9925	4.1921	3.9727		0.21%
05-06-16	3.9943	4.0304	4.0833	3.9826		-0.92%
05-05-16	4.0315	4.0728	4.0789	4.006		-1.06%
05-04-16	4.0748	4.09	4.1192	4.0503		-0.44%
05-03-16	4.0929	4.0385	4.127	4.0297		1.33%
05-02-16	4.0393	3.9304	4.04	3.9294		2.62%
04/29/2016	3.936	3.959	3.9918	3.9187		-0.60%
04/28/2016	3.9598	3.9905	4.007	3.9385		-0.83%
04/27/2016	3.9928	3.985	4.0269	3.9676		0.12%
04/26/2016	3.988	4.0032	4.0158	3.9677		-0.47%
04/25/2016	4.0067	4.0014	4.0226	3.9789		0.06%
04/22/2016	4.0043	3.9923	4.0503	3.9735		0.25%
04/21/2016	3.9944	3.9853	4.025	3.9749		0.17%
04/20/2016	3.9877	4.0109	4.0564	3.9797		-0.66%
04/19/2016	4.014	4.0889	4.1025	4.0017		-1.87%
04/18/2016	4.0906	3.9912	4.0939	3.9245		2.61%
04/15/2016	3.9866	3.924	4.0241	3.9003		1.56%
04/14/2016	3.9255	3.9418	3.9821	3.8957		-0.47%
04/13/2016	3.944	3.9753	4.0201	3.9142		-0.71%
04-12-16	3.9724	3.9821	4.0591	3.9567		-0.30%
04-11-16	3.9842	4.0921	4.1018	3.976		-2.66%
04-08-16	4.0929	4.1958	4.2007	4.0852		-2.52%
04-07-16	4.1987	4.1479	4.2353	4.1329		1.15%
04-06-16	4.1508	4.188	4.2093	4.1386		-0.93%
04-05-16	4.1899	4.1264	4.1977	4.1085		1.48%
04-04-16	4.1286	4.0461	4.1342	4.0338		2.02%
04-01-16	4.047	4.0875	4.1329	4.0219		-1.04%
03/31/2016	4.0894	4.0796	4.1397	4.0236		0.18%
03/30/2016	4.0819	4.106	4.1388	4.0718		-0.64%
03/29/2016	4.1083	4.0601	4.1246	4.0475		1.15%
03/28/2016	4.0614	4.1106	4.1216	4.0517		-1.25%
